time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58543.5220602,g,,,,,20.2311,,P48,3,,MJD,True
58547.4165741,g,,,,,20.5034,,P48,3,,MJD,True
58552.1889931,G,,,,,21.5,,Gaia,3,,MJD,True
58556.4799884,g,,,0.31,,20.92,,P48,3,,MJD,
58560.4389699,r,,,0.2,,19.8,,P48,3,,MJD,
58560.4825,g,,,0.24,,20.2,,P48,3,,MJD,
58566.6189931,G,,,0.2,,18.75,,Gaia,3,,MJD,
58566.620,G,,,0.0,,18.74,,GAIA,2,,MJD,
58566.694,G,,,0.0,,18.73,,GAIA,2,,MJD,
58567.5859954,orange,,,,,19.3,,ATLAS1,3,,MJD,True
58568.3785764,g,,,0.14,,18.82,,P48,3,,MJD,
58569.545,orange,,,0.104,,18.089,,ATLAS1,3,,MJD,
58572.4573148,r,,,0.07,,18.01,,P48,3,,MJD,
58572.4577662,r,,,0.06,,18.02,,P48,3,,MJD,
58575.3352315,g,,,0.05,,18.11,,P48,3,,MJD,
58575.3761921,r,,,0.12,,17.85,,P48,3,,MJD,
58580.4570023,g,,,0.07,,18.17,,P48,3,,MJD,
58580.4790509,r,,,0.05,,17.73,,P48,3,,MJD,
58587.58,w,,,0.01,,18.11,,PS1,3,,MJD,
58664.733,G,,,0.0,,20.00,,GAIA,2,,MJD,
58701.832,G,,,0.0,,20.45,,GAIA,2,,MJD,
