time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58608.316,G,,,0.0,,16.89,,GAIA,5,,MJD,
58608.390,G,,,0.0,,16.89,,GAIA,5,,MJD,
58612.1106,B,,,0.0525573,,16.2306,,,"6,7",,MJD,
58612.1144,V,,,0.0194414,,15.3637,,,"6,7",,MJD,
58612.119,R,,,0.00834076,,15.2104,,,"6,7",,MJD,
58627.1464,B,,,,,19.2031,,,"6,7",,MJD,
58627.151,V,,,0.0247436,,15.6096,,,"6,7",,MJD,
58627.1556,R,,,0.0131979,,15.337,,,"6,7",,MJD,
58630.565,G,,,0.0,,17.43,,GAIA,5,,MJD,
58630.639,G,,,0.0,,17.42,,GAIA,5,,MJD,
58635.1129,B,,,,,19.3679,,,"6,7",,MJD,
58635.1174,V,,,,,19.6365,,,"6,7",,MJD,
58635.122,R,,,,,19.8861,,,"6,7",,MJD,
58671.4152260925,w,,,0.0466399,,19.5848,,Pan-STARRS1,"2,3,4",,MJD,
58671.4285743203,w,,,0.0320827,,19.5633,,Pan-STARRS1,"2,3,4",,MJD,
58671.4419408439,w,,,0.0291777,,19.5473,,Pan-STARRS1,"2,3,4",,MJD,
58671.4552524631,w,,,0.0675713,,19.5385,,Pan-STARRS1,"2,3,4",,MJD,
58672.339,G,,,0.0,,19.34,,GAIA,5,,MJD,
58697.613,G,,,0.0,,20.01,,GAIA,5,,MJD,
