time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58603.5,,,,,,19.3,,,"3,4",,MJD,
58617.5467606876,i,,,0.0150465,,17.6572,,Pan-STARRS1,2,,MJD,
58617.5568362735,i,,,0.0211399,,17.6787,,Pan-STARRS1,2,,MJD,
58617.5667845049,i,,,0.0193639,,17.7027,,Pan-STARRS1,2,,MJD,
58617.5766599635,i,,,0.0267229,,17.6623,,Pan-STARRS1,2,,MJD,
58629.5084868781,i,,,0.0123288,,18.3236,,Pan-STARRS1,2,,MJD,
58629.5157969972,i,,,0.015116,,18.3903,,Pan-STARRS1,2,,MJD,
58629.523060972,i,,,0.019419,,18.3384,,Pan-STARRS1,2,,MJD,
58629.5302898148,i,,,0.0198396,,18.3696,,Pan-STARRS1,2,,MJD,
58647.4586080307,i,,,0.0249919,,18.3243,,Pan-STARRS1,2,,MJD,
58647.4659310723,i,,,0.0384789,,18.3237,,Pan-STARRS1,2,,MJD,
58647.4732105896,i,,,0.0348609,,18.3211,,Pan-STARRS1,2,,MJD,
58647.4804505307,i,,,0.0340874,,18.3297,,Pan-STARRS1,2,,MJD,
58649.4648802523,i,,,0.0297889,,18.4381,,Pan-STARRS1,2,,MJD,
58649.474198293,i,,,0.0239321,,18.4147,,Pan-STARRS1,2,,MJD,
58649.4834253198,i,,,0.0263824,,18.4402,,Pan-STARRS1,2,,MJD,
58650.5537435949,z,,,0.0220724,,18.5041,,Pan-STARRS1,2,,MJD,
58650.567363678,z,,,0.0188194,,18.4806,,Pan-STARRS1,2,,MJD,
58650.5809939212,z,,,0.0226655,,18.4591,,Pan-STARRS1,2,,MJD,
58650.5946384318,z,,,0.0228316,,18.4581,,Pan-STARRS1,2,,MJD,
58651.5458850713,z,,,0.0400983,,18.4671,,Pan-STARRS1,2,,MJD,
58651.5613799496,z,,,0.0437898,,18.4942,,Pan-STARRS1,2,,MJD,
58651.5735258307,z,,,0.0319902,,18.4931,,Pan-STARRS1,2,,MJD,
58651.5856512227,z,,,0.0366727,,18.4948,,Pan-STARRS1,2,,MJD,
58652.5778121104,z,,,0.0461263,,18.559,,Pan-STARRS1,2,,MJD,
58652.5869087273,z,,,0.0576939,,18.5959,,Pan-STARRS1,2,,MJD,
58652.5959983218,z,,,0.0602449,,18.581,,Pan-STARRS1,2,,MJD,
58652.6050830526,z,,,0.0515635,,18.5656,,Pan-STARRS1,2,,MJD,
58653.5149543546,i,,,0.076637,,18.6986,,Pan-STARRS1,2,,MJD,
58653.5272544805,i,,,0.0593307,,18.6863,,Pan-STARRS1,2,,MJD,
58653.5382502526,i,,,0.0823644,,18.6988,,Pan-STARRS1,2,,MJD,
58653.5479737288,i,,,0.0957281,,18.6818,,Pan-STARRS1,2,,MJD,
58659.4277393875,w,,,0.0304432,,19.1671,,Pan-STARRS1,2,,MJD,
58659.4400378321,w,,,0.0252372,,19.1942,,Pan-STARRS1,2,,MJD,
58659.4523196439,w,,,0.0286023,,19.1808,,Pan-STARRS1,2,,MJD,
58659.4645562856,w,,,0.0227012,,19.199,,Pan-STARRS1,2,,MJD,
58659.5352389499,i,,,0.023907,,19.104,,Pan-STARRS1,2,,MJD,
58659.5436589458,i,,,0.0237661,,19.1122,,Pan-STARRS1,2,,MJD,
58659.5520658335,i,,,0.0254397,,19.1446,,Pan-STARRS1,2,,MJD,
58659.560510851,i,,,0.0269781,,19.0912,,Pan-STARRS1,2,,MJD,
58677.4887124188,i,,,0.240182,,19.8088,,Pan-STARRS1,2,,MJD,
58677.4970640671,i,,,0.221214,,19.7546,,Pan-STARRS1,2,,MJD,
58677.5054466282,i,,,0.193571,,19.6813,,Pan-STARRS1,2,,MJD,
