time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58618.3111835817,i,,,0.0901844,,20.4919,,Pan-STARRS1,1,,MJD,
58618.3111835817,i,,,0.0930508,,20.5084,,Pan-STARRS1,1,,MJD,
58618.3202801742,i,,,0.0772134,,20.2364,,Pan-STARRS1,1,,MJD,
58618.3202801742,i,,,0.0789452,,20.2645,,Pan-STARRS1,1,,MJD,
58618.3293575324,i,,,0.0842792,,20.3412,,Pan-STARRS1,1,,MJD,
58618.3293575324,i,,,0.0886453,,20.3646,,Pan-STARRS1,1,,MJD,
58618.3384200078,i,,,0.118608,,20.3222,,Pan-STARRS1,1,,MJD,
58618.3384200078,i,,,0.1254,,20.3584,,Pan-STARRS1,1,,MJD,
58624.3112204755,i,,,0.0331493,,18.9413,,Pan-STARRS1,1,,MJD,
58624.3112204755,i,,,0.0318233,,18.9585,,Pan-STARRS1,1,,MJD,
58624.3196461173,i,,,0.0418186,,18.913,,Pan-STARRS1,1,,MJD,
58624.3196461173,i,,,0.0403494,,18.9265,,Pan-STARRS1,1,,MJD,
58624.3280802965,i,,,0.0641889,,18.9524,,Pan-STARRS1,1,,MJD,
58624.3280802965,i,,,0.0634162,,18.9755,,Pan-STARRS1,1,,MJD,
58624.332,G,,,0.0,,18.94,,GAIA,2,,MJD,
58624.3365217663,i,,,0.056573,,19.0082,,Pan-STARRS1,1,,MJD,
58624.3365217663,i,,,0.0528985,,19.0225,,Pan-STARRS1,1,,MJD,
58624.509,G,,,0.0,,18.87,,GAIA,2,,MJD,
58651.504,G,,,0.0,,19.56,,GAIA,2,,MJD,
58651.578,G,,,0.0,,19.78,,GAIA,2,,MJD,
