time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58607.4967824,r,,,,,20.1664,,P48,2,,MJD,True
58634.4663194,g,,,0.18,,20.38,,P48,2,,MJD,
58637.4336111,r,,,0.11,,20.03,,P48,2,,MJD,
58659.5319907,orange,,,,,19.2,,ATLAS1,2,,MJD,True
58663.5519907,cyan,,,0.169,,18.963,,ATLAS1,2,,MJD,
58689.891,G,,,0.0,,18.22,,GAIA,3,,MJD,
58689.965,G,,,0.0,,18.25,,GAIA,3,,MJD,
58690.142,G,,,0.0,,18.22,,GAIA,3,,MJD,
58690.216,G,,,0.0,,18.25,,GAIA,3,,MJD,
58701.725,G,,,0.0,,18.32,,GAIA,3,,MJD,
58701.901,G,,,0.0,,18.33,,GAIA,3,,MJD,
58701.975,G,,,0.0,,18.29,,GAIA,3,,MJD,
58702.152,G,,,0.0,,18.32,,GAIA,3,,MJD,
58702.226,G,,,0.0,,18.33,,GAIA,3,,MJD,
58702.402,G,,,0.0,,18.29,,GAIA,3,,MJD,
58705.5529977,w,,,0.01,,18.4,,PS1,2,,MJD,
58775.738,G,,,0.0,,20.31,,GAIA,3,,MJD,
58775.812,G,,,0.0,,20.26,,GAIA,3,,MJD,
58775.988,G,,,0.0,,20.18,,GAIA,3,,MJD,
58776.062,G,,,0.0,,20.17,,GAIA,3,,MJD,
58792.001,G,,,0.0,,19.94,,GAIA,3,,MJD,
58792.075,G,,,0.0,,19.86,,GAIA,3,,MJD,
58792.252,G,,,0.0,,19.98,,GAIA,3,,MJD,
