time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58492.06475,I,,,,,22,Vega,,3,,MJD,True
58511.05942,I,,,,,22,Vega,,3,,MJD,True
58673.39801,I,,,,,22,Vega,,3,,MJD,True
58681.37821,I,,,,,22,Vega,,"3,4",,MJD,True
58684.6139931,G,,,,,21.5,,Gaia,4,,MJD,True
58685.7769907,G,,,0.2,,18.96,,Gaia,4,,MJD,
58685.778,G,,,0.0,,18.97,,GAIA,2,,MJD,
58685.954,G,,,0.0,,18.87,,GAIA,2,,MJD,
58688.32954,I,,,0.020,,18.465,Vega,,3,,MJD,
58688.32954,I,,,0.02,,18.465,Vega,OGLE-1.3m,4,,MJD,
58693.34135,I,,,0.012,,17.561,Vega,,3,,MJD,
58703.39808,I,,,0.014,,17.563,Vega,,3,,MJD,
58704.26956,I,,,0.010,,17.565,Vega,,3,,MJD,
58707.27332,I,,,0.017,,17.699,Vega,,3,,MJD,
58713.27967,I,,,0.018,,18.131,Vega,,3,,MJD,
58716.26954,I,,,0.017,,18.309,Vega,,3,,MJD,
58719.26540,I,,,0.015,,18.363,Vega,,3,,MJD,
58725.24423,I,,,0.013,,18.173,Vega,,3,,MJD,
58730.20154,I,,,0.015,,18.095,Vega,,3,,MJD,
58734.12495,I,,,0.019,,18.086,Vega,,3,,MJD,
58739.25264,I,,,0.023,,18.177,Vega,,3,,MJD,
58745.17389,I,,,0.026,,18.532,Vega,,3,,MJD,
58746.590,G,,,0.0,,18.75,,GAIA,2,,MJD,
58746.664,G,,,0.0,,18.80,,GAIA,2,,MJD,
58748.17638,I,,,0.023,,18.690,Vega,,3,,MJD,
58753.14510,I,,,0.034,,18.951,Vega,,3,,MJD,
58757.12806,I,,,0.033,,19.135,Vega,,3,,MJD,
58761.10926,I,,,0.031,,19.206,Vega,,3,,MJD,
58764.11526,I,,,0.051,,19.345,Vega,,3,,MJD,
58771.09735,I,,,0.095,,19.635,Vega,,3,,MJD,
58772.11710,I,,,0.059,,19.531,Vega,,3,,MJD,
58775.07767,I,,,0.058,,19.768,Vega,,3,,MJD,
58780.13198,I,,,0.049,,19.835,Vega,,3,,MJD,
58784.10524,I,,,0.068,,19.932,Vega,,3,,MJD,
58784.677,G,,,0.0,,19.82,,GAIA,2,,MJD,
58787.04445,I,,,0.084,,20.202,Vega,,3,,MJD,
58792.01124,I,,,0.111,,20.211,Vega,,3,,MJD,
58795.03083,I,,,0.123,,20.477,Vega,,3,,MJD,
58798.02936,I,,,0.158,,20.644,Vega,,3,,MJD,
58801.01284,I,,,0.172,,20.727,Vega,,3,,MJD,
58804.01405,I,,,0.124,,20.270,Vega,,3,,MJD,
58807.02281,I,,,0.153,,20.863,Vega,,3,,MJD,
58811.02388,I,,,0.167,,20.882,Vega,,3,,MJD,
58813.299,G,,,0.0,,20.32,,GAIA,2,,MJD,
58814.02584,I,,,0.135,,20.641,Vega,,3,,MJD,
58818.03057,I,,,0.135,,20.752,Vega,,3,,MJD,
58822.03428,I,,,0.230,,21.044,Vega,,3,,MJD,
58826.03721,I,,,0.278,,21.300,Vega,,3,,MJD,
