time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58683.4379977,G,,,,,21.5,,Gaia,2,,MJD,True
58686.1909954,g,,,,,20.57,,P48,2,,MJD,True
58689.1749884,r,,,,,20.23,,P48,2,,MJD,
58692.2136458,g,,,,,20.365,,P48,2,,MJD,True
58692.295,orange,,,,,19.49,,ATLAS1,2,,MJD,True
58694.315,cyan,,,0.167,,19.518,,ATLAS1,2,,MJD,
58698.1641088,r,,,0.11,,18.96,,P48,2,,MJD,
58703.0729977,G,,,0.2,,18.73,,Gaia,2,,MJD,
58703.074,G,,,0.0,,18.73,,GAIA,3,,MJD,
58703.148,G,,,0.0,,18.73,,GAIA,3,,MJD,
58705.1651968,r,,,0.09,,18.59,,P48,2,,MJD,
58705.2489931,g,,,,,18.64,,P48,2,,MJD,
58744.408,G,,,0.0,,20.12,,GAIA,3,,MJD,
58744.733,G,,,0.0,,20.07,,GAIA,3,,MJD,
58744.909,G,,,0.0,,20.10,,GAIA,3,,MJD,
58750.162,G,,,0.0,,20.22,,GAIA,3,,MJD,
58750.412,G,,,0.0,,20.40,,GAIA,3,,MJD,
58750.486,G,,,0.0,,20.29,,GAIA,3,,MJD,
58750.737,G,,,0.0,,20.41,,GAIA,3,,MJD,
