time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58700.5021065,g,,,,,20.0148,,P48,2,,MJD,True
58703.4421528,r,,,0.21,,20.45,,P48,2,,MJD,
58706.4661806,g,,,0.14,,19.32,,P48,2,,MJD,
58713.5889931,orange,,,,,18.62,,ATLAS1,2,,MJD,True
58719.5509954,orange,,,0.103,,18.659,,ATLAS1,2,,MJD,
58721.4587037,r,,,,,20.0506,,P48,2,,MJD,True
58724.4167361,r,,,0.08,,18.35,,P48,2,,MJD,
58724.4401968,g,,,0.07,,18.43,,P48,2,,MJD,
58739.4519907,i,,,0.26,,19.74,,PS1,2,,MJD,
58756.5439931,w,,,0.11,,19.8,,PS1,2,,MJD,
