time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58644.2059954,G,,,,,21.5,,Gaia,2,,MJD,True
58713.4289931,orange,,,,,18.4,,ATLAS1,2,,MJD,True
58715.395,orange,,,0.109,,17.409,,ATLAS1,2,,MJD,
58730.3429977,G,,,0.2,,18.17,,Gaia,2,,MJD,
58730.344,G,,,0.0,,18.16,,GAIA,3,,MJD,
58730.418,G,,,0.0,,18.18,,GAIA,3,,MJD,
58730.669,G,,,0.0,,18.26,,GAIA,3,,MJD,
58737.423,G,,,0.0,,18.65,,GAIA,3,,MJD,
58737.599,G,,,0.0,,18.65,,GAIA,3,,MJD,
58737.673,G,,,0.0,,18.65,,GAIA,3,,MJD,
58811.569,G,,,0.0,,20.99,,GAIA,3,,MJD,
