time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58714.5041667,g,,,,,19.6598,,P48,2,,MJD,True
58719.4632407,r,,,0.09,,18.75,,P48,2,,MJD,
58719.4636921,r,,,0.13,,18.84,,P48,2,,MJD,
58721.5729977,w,,,0.05,,18.28,,PS1,2,,MJD,
58724.63,orange,,,,,19.46,,ATLAS1,2,,MJD,True
58726.5819907,cyan,,,0.057,,17.379,,ATLAS1,2,,MJD,
58739.2219907,G,,,,,21.5,,Gaia,2,,MJD,True
58741.5289931,G,,,0.2,,18.1,,Gaia,2,,MJD,
58741.530,G,,,0.0,,18.09,,GAIA,3,,MJD,
58741.604,G,,,0.0,,18.08,,GAIA,3,,MJD,
58749.1872,B,,,,,21.3622,,,"4,5",,MJD,
58749.1917,V,,,0.0555679,,17.313,,,"4,5",,MJD,
58749.1963,R,,,,,19.9436,,,"4,5",,MJD,
58752.1139,B,,,,,19.4461,,,"4,5",,MJD,
58752.1185,V,,,0.068496,,17.7916,,,"4,5",,MJD,
58752.1231,R,,,0.0441075,,17.8987,,,"4,5",,MJD,
58753.5869907,w,,,0.01,,18.53,,PS1,2,,MJD,
58756.547,G,,,0.0,,18.79,,GAIA,3,,MJD,
58756.621,G,,,0.0,,18.79,,GAIA,3,,MJD,
