time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58699.65,G,,,,,21.5,,Gaia,2,,MJD,True
58751.1941667,g,,,,,20.6077,,P48,2,,MJD,True
58754.1652662,r,,,0.14,,19.41,,P48,2,,MJD,
58754.1938773,g,,,0.15,,19.62,,P48,2,,MJD,
58755.3789931,cyan,,,,,19.75,,ATLAS1,2,,MJD,True
58757.3569907,orange,,,0.097,,18.711,,ATLAS1,2,,MJD,
58764.4159954,i,,,0.05,,18.86,,PS1,2,,MJD,
58776.735,G,,,0.2,,18.94,,Gaia,2,,MJD,
58776.736,G,,,0.0,,18.94,,GAIA,3,,MJD,
58776.810,G,,,0.0,,18.92,,GAIA,3,,MJD,
58776.987,G,,,0.0,,18.95,,GAIA,3,,MJD,
58777.061,G,,,0.0,,18.87,,GAIA,3,,MJD,
58792.750,G,,,0.0,,19.21,,GAIA,3,,MJD,
58792.824,G,,,0.0,,19.29,,GAIA,3,,MJD,
