time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58076.658,G,,,0.0,,20.39,,GAIA,4,,MJD,
58076.908,G,,,0.0,,20.27,,GAIA,4,,MJD,
58077.085,G,,,0.0,,20.21,,GAIA,4,,MJD,
58077.159,G,,,0.0,,20.30,,GAIA,4,,MJD,
58077.335,G,,,0.0,,20.20,,GAIA,4,,MJD,
58090.092,G,,,0.0,,18.89,,GAIA,4,,MJD,
58090.342,G,,,0.0,,18.89,,GAIA,4,,MJD,
58090.416,G,,,0.0,,18.91,,GAIA,4,,MJD,
58090.592,G,,,0.0,,18.90,,GAIA,4,,MJD,
58090.666,G,,,0.0,,18.90,,GAIA,4,,MJD,
58139.153,G,,,0.0,,20.25,,GAIA,4,,MJD,
58139.329,G,,,0.0,,20.20,,GAIA,4,,MJD,
58472.717,G,,,0.0,,18.61,,GAIA,4,,MJD,
58472.893,G,,,0.0,,18.59,,GAIA,4,,MJD,
58472.968,G,,,0.0,,18.60,,GAIA,4,,MJD,
58515.628,G,,,0.0,,19.04,,GAIA,4,,MJD,
58515.702,G,,,0.0,,19.03,,GAIA,4,,MJD,
58522.6181064342,w,,,0.0329275,,18.9812,,Pan-STARRS1,2,,MJD,
58522.629589121,w,,,0.0364936,,18.9874,,Pan-STARRS1,2,,MJD,
58522.6410877406,w,,,0.043631,,18.9813,,Pan-STARRS1,2,,MJD,
58522.6524875105,w,,,0.04033,,18.9702,,Pan-STARRS1,2,,MJD,
58547.113,G,,,0.0,,19.07,,GAIA,4,,MJD,
58570.110,G,,,0.0,,19.44,,GAIA,4,,MJD,
58610.5574354283,w,,,0.092261,,20.9736,,Pan-STARRS1,2,,MJD,
58610.5802771716,w,,,0.0705567,,20.7814,,Pan-STARRS1,2,,MJD,
58610.5916884873,w,,,0.0596656,,20.7886,,Pan-STARRS1,2,,MJD,
58621.886,G,,,0.0,,20.83,,GAIA,4,,MJD,
58622.062,G,,,0.0,,20.88,,GAIA,4,,MJD,
58642.470301068,w,,,0.117752,,21.0121,,Pan-STARRS1,2,,MJD,
58642.4817244994,w,,,0.107983,,21.0898,,Pan-STARRS1,2,,MJD,
58642.4931944604,w,,,0.122696,,21.0354,,Pan-STARRS1,2,,MJD,
58642.5046691969,w,,,0.158122,,21.089,,Pan-STARRS1,2,,MJD,
58665.4526926564,w,,,0.145219,,21.1611,,Pan-STARRS1,2,,MJD,
58665.471642219,w,,,0.132342,,21.2439,,Pan-STARRS1,2,,MJD,
58665.4852294287,w,,,0.171723,,21.2842,,Pan-STARRS1,2,,MJD,
58665.4987554816,w,,,0.120531,,21.3063,,Pan-STARRS1,2,,MJD,
58671.3641276715,w,,,0.129749,,21.351,,Pan-STARRS1,2,,MJD,
58671.3757595443,w,,,0.132626,,21.3491,,Pan-STARRS1,2,,MJD,
58671.387506776,w,,,0.156052,,21.3668,,Pan-STARRS1,2,,MJD,
58671.3992902992,w,,,0.119205,,21.3022,,Pan-STARRS1,2,,MJD,
