time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58500.25407,I,,,,,22,Vega,,3,,MJD,True
58504.27847,I,,,,,22,Vega,,3,,MJD,True
58511.18419,I,,,,,22,Vega,,3,,MJD,True
58517.26456,I,,,,,22,Vega,,3,,MJD,True
58528.09637,I,,,,,22,Vega,,3,,MJD,True
58535.19626,I,,,,,22,Vega,,3,,MJD,True
58539.07632,I,,,,,22,Vega,,3,,MJD,True
58547.13409,I,,,,,22,Vega,,3,,MJD,True
58557.00895,I,,,,,22,Vega,,3,,MJD,True
58562.02559,I,,,,,22,Vega,,3,,MJD,True
58566.04228,I,,,,,22,Vega,,3,,MJD,True
58574.02726,I,,,,,22,Vega,,3,,MJD,True
58582.02426,I,,,,,22,Vega,,3,,MJD,True
58589.00286,I,,,,,22,Vega,,3,,MJD,True
58600.00244,I,,,,,22,Vega,,3,,MJD,True
58701.42846,I,,,,,22,Vega,,3,,MJD,True
58714.42998,I,,,,,22,Vega,,3,,MJD,True
58722.40134,I,,,,,22,Vega,,3,,MJD,True
58726.37150,I,,,,,22,Vega,,3,,MJD,True
58729.33768,I,,,,,22,Vega,,3,,MJD,True
58736.35105,I,,,,,22,Vega,,3,,MJD,True
58739.34213,I,,,,,22,Vega,,3,,MJD,True
58742.33273,I,,,,,22,Vega,,3,,MJD,True
58750.34101,I,,,,,22,Vega,,3,,MJD,True
58755.34534,I,,,,,22,Vega,,3,,MJD,True
58761.36671,I,,,,,22,Vega,,3,,MJD,True
58764.34561,I,,,,,22,Vega,,3,,MJD,True
58772.35639,I,,,,,22,Vega,,3,,MJD,True
58776.31706,I,,,,,22,Vega,,3,,MJD,True
58782.32304,I,,,,,22,Vega,,3,,MJD,True
58785.27302,I,,,,,22,Vega,,3,,MJD,True
58796.20806,I,,,,,22,Vega,,3,,MJD,True
58799.20910,I,,,,,22,Vega,,3,,MJD,True
58802.22928,I,,,,,22,Vega,,3,,MJD,True
58805.24393,I,,,,,22,Vega,,3,,MJD,True
58811.24232,I,,,,,22,Vega,,3,,MJD,True
58817.22486,I,,,0.053,,19.740,Vega,,3,,MJD,
58822.19444,I,,,0.018,,18.254,Vega,,3,,MJD,
58824.23827,I,,,0.016,,18.078,Vega,,3,,MJD,
58825.19862,I,,,0.019,,18.019,Vega,,3,,MJD,
