time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52880.58,g,MegaCam,,,,26.450688741,BD17,CFHT,5,,MJD,True
52881.50,i,MegaCam,,,,25.208470387,BD17,CFHT,5,,MJD,True
52881.54,r,MegaCam,,,,25.76404646,BD17,CFHT,5,,MJD,True
52881.56,z,MegaCam,,,,23.65402129,BD17,CFHT,5,,MJD,True
52886.60,i,MegaCam,,,,24.873905596,BD17,CFHT,5,,MJD,True
52900.50,g,MegaCam,,,,25.30391096,BD17,CFHT,5,,MJD,True
52900.53,i,MegaCam,,,,24.30163127,BD17,CFHT,5,,MJD,
52900.56,r,MegaCam,,,,25.28433735,BD17,CFHT,5,,MJD,True
52900.59,z,MegaCam,,,,23.32169756,BD17,CFHT,5,,MJD,True
52904.53,i,MegaCam,,,,23.83360940,BD17,CFHT,5,,MJD,
52904.57,r,MegaCam,,,,24.43356468,BD17,CFHT,5,,MJD,
52904.60,g,MegaCam,,,,26.03298338,BD17,CFHT,5,,MJD,True
52908.53,g,MegaCam,,,,26.08784681,BD17,CFHT,5,,MJD,True
52908.56,r,MegaCam,,,,24.00254733,BD17,CFHT,5,,MJD,
52908.60,i,MegaCam,,,,23.45949412,BD17,CFHT,5,,MJD,
52909.61,z,MegaCam,,,,23.43354606,BD17,CFHT,5,,MJD,True
52912.49,i,MegaCam,,,,23.26761846,BD17,CFHT,5,,MJD,
52914.57,r,MegaCam,,,,23.71965704,BD17,CFHT,5,,MJD,
52915.62,i,MegaCam,,,,23.23022334,BD17,CFHT,5,,MJD,
52916.46,r,MegaCam,,,,23.75951004,BD17,CFHT,5,,MJD,
52929.44,i,MegaCam,,,,23.35692998,BD17,CFHT,5,,MJD,
52929.52,r,MegaCam,,,,24.09266343,BD17,CFHT,5,,MJD,
52930.37,r,MegaCam,,,,24.63019115,BD17,CFHT,5,,MJD,
52930.39,g,MegaCam,,,,26.11947054,BD17,CFHT,5,,MJD,True
52930.41,z,MegaCam,,,,23.49402246,BD17,CFHT,5,,MJD,True
52933.47,i,MegaCam,,,,23.41403357,BD17,CFHT,5,,MJD,
52933.50,r,MegaCam,,,,24.47520762,BD17,CFHT,5,,MJD,
52934.50,r,MegaCam,,,,24.80512750,BD17,CFHT,5,,MJD,
52934.53,g,MegaCam,,,,26.43695948,BD17,CFHT,5,,MJD,True
52937.48,i,MegaCam,,,,23.58830526,BD17,CFHT,5,,MJD,
52937.55,g,MegaCam,,,,25.72248659,BD17,CFHT,5,,MJD,True
52937.57,r,MegaCam,,,,24.72622237,BD17,CFHT,5,,MJD,
52938.51,z,MegaCam,,,,23.15463478,BD17,CFHT,5,,MJD,True
52942.46,i,MegaCam,,,,23.91003095,BD17,CFHT,5,,MJD,
52944.35,i,MegaCam,,,,23.83509371,BD17,CFHT,5,,MJD,
52944.39,g,MegaCam,,,,25.602720269,BD17,CFHT,5,,MJD,True
52944.43,r,MegaCam,,,,25.41132847,BD17,CFHT,5,,MJD,True
52944.46,z,MegaCam,,,,23.60068218,BD17,CFHT,5,,MJD,True
52961.38,i,MegaCam,,,,24.79793792,BD17,CFHT,5,,MJD,True
