time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52968.37,r,MegaCam,,,,25.00462421,BD17,CFHT,3,,MJD,True
52972.27,i,MegaCam,,,,24.302173530,BD17,CFHT,3,,MJD,True
52990.26,i,MegaCam,,,,24.76482714,BD17,CFHT,3,,MJD,True
52990.34,r,MegaCam,,,,25.072216445,BD17,CFHT,3,,MJD,True
52992.24,i,MegaCam,,,,24.85014528,BD17,CFHT,3,,MJD,True
52992.29,r,MegaCam,,,,25.15757270,BD17,CFHT,3,,MJD,
52992.33,g,MegaCam,,,,25.813317812,BD17,CFHT,3,,MJD,True
52995.35,i,MegaCam,,,,24.10926595,BD17,CFHT,3,,MJD,
52995.39,r,MegaCam,,,,24.40620349,BD17,CFHT,3,,MJD,
52999.24,i,MegaCam,,,,23.49590913,BD17,CFHT,3,,MJD,
52999.28,r,MegaCam,,,,23.63314994,BD17,CFHT,3,,MJD,
52999.32,g,MegaCam,,,,25.93785151,BD17,CFHT,3,,MJD,True
52999.36,z,MegaCam,,,,23.06525975,BD17,CFHT,3,,MJD,True
53000.24,z,MegaCam,,,,23.48485313,BD17,CFHT,3,,MJD,
53018.26,i,MegaCam,,,,22.96328251,BD17,CFHT,3,,MJD,
53018.32,r,MegaCam,,,,23.33978249,BD17,CFHT,3,,MJD,
53022.28,i,MegaCam,,,,23.14907354,BD17,CFHT,3,,MJD,
53022.32,r,MegaCam,,,,23.74018299,BD17,CFHT,3,,MJD,
53023.23,r,MegaCam,,,,23.75091974,BD17,CFHT,3,,MJD,
53026.27,i,MegaCam,,,,23.29845878,BD17,CFHT,3,,MJD,
53026.34,r,MegaCam,,,,24.07617186,BD17,CFHT,3,,MJD,
53207.60,r,MegaCam,,,,25.26158178,BD17,CFHT,3,,MJD,True
53210.60,i,MegaCam,,,,24.899532919,BD17,CFHT,3,,MJD,True
53234.60,i,MegaCam,,,,25.41339200,BD17,CFHT,3,,MJD,True
53236.57,r,MegaCam,,,,25.10699976,BD17,CFHT,3,,MJD,True
53236.59,g,MegaCam,,,,25.91208260,BD17,CFHT,3,,MJD,True
53239.53,i,MegaCam,,,,24.48064487,BD17,CFHT,3,,MJD,True
53239.57,r,MegaCam,,,,24.69544406,BD17,CFHT,3,,MJD,True
53239.60,z,MegaCam,,,,22.941069920,BD17,CFHT,3,,MJD,True
53240.56,z,MegaCam,,,,23.492030771,BD17,CFHT,3,,MJD,True
53253.53,i,MegaCam,,,,25.08634897,BD17,CFHT,3,,MJD,True
53253.58,r,MegaCam,,,,25.023043270,BD17,CFHT,3,,MJD,True
53253.61,z,MegaCam,,,,23.751177491,BD17,CFHT,3,,MJD,True
53256.50,z,MegaCam,,,,23.609726405,BD17,CFHT,3,,MJD,True
53257.51,i,MegaCam,,,,24.94490905,BD17,CFHT,3,,MJD,True
53257.55,r,MegaCam,,,,25.427142767,BD17,CFHT,3,,MJD,True
53257.57,g,MegaCam,,,,26.154288474,BD17,CFHT,3,,MJD,True
53261.48,i,MegaCam,,,,24.442656342,BD17,CFHT,3,,MJD,True
53261.51,r,MegaCam,,,,24.91503409,BD17,CFHT,3,,MJD,True
53261.52,g,MegaCam,,,,25.90069873,BD17,CFHT,3,,MJD,True
53265.59,r,MegaCam,,,,24.833533009,BD17,CFHT,3,,MJD,True
53266.52,i,MegaCam,,,,24.738398185,BD17,CFHT,3,,MJD,True
53266.55,r,MegaCam,,,,25.30362370,BD17,CFHT,3,,MJD,True
53266.57,g,MegaCam,,,,25.31735275,BD17,CFHT,3,,MJD,True
53267.53,g,MegaCam,,,,26.072067724,BD17,CFHT,3,,MJD,True
53270.52,i,MegaCam,,,,25.22885448,BD17,CFHT,3,,MJD,True
53270.56,r,MegaCam,,,,25.33354331,BD17,CFHT,3,,MJD,True
53270.61,z,MegaCam,,,,24.033239936,BD17,CFHT,3,,MJD,True
53282.46,i,MegaCam,,,,24.87057563,BD17,CFHT,3,,MJD,True
53282.50,r,MegaCam,,,,24.949770408,BD17,CFHT,3,,MJD,True
53282.54,z,MegaCam,,,,23.827305186,BD17,CFHT,3,,MJD,True
53286.55,z,MegaCam,,,,23.34178446,BD17,CFHT,3,,MJD,True
53287.43,i,MegaCam,,,,24.925577012,BD17,CFHT,3,,MJD,True
53287.46,r,MegaCam,,,,25.48658773,BD17,CFHT,3,,MJD,True
53287.48,g,MegaCam,,,,26.36357380,BD17,CFHT,3,,MJD,True
53293.39,i,MegaCam,,,,24.621268929,BD17,CFHT,3,,MJD,True
53293.43,r,MegaCam,,,,25.079026146,BD17,CFHT,3,,MJD,True
53293.54,g,MegaCam,,,,26.212286731,BD17,CFHT,3,,MJD,True
53297.35,r,MegaCam,,,,25.258271184,BD17,CFHT,3,,MJD,True
53297.38,i,MegaCam,,,,24.436500624,BD17,CFHT,3,,MJD,True
53297.41,g,MegaCam,,,,25.972405306,BD17,CFHT,3,,MJD,True
53299.37,z,MegaCam,,,,24.13490036,BD17,CFHT,3,,MJD,True
53300.35,i,MegaCam,,,,24.80830788,BD17,CFHT,3,,MJD,True
53300.38,r,MegaCam,,,,25.01266816,BD17,CFHT,3,,MJD,True
53311.38,r,MegaCam,,,,24.85602490,BD17,CFHT,3,,MJD,True
53311.41,i,MegaCam,,,,24.939966621,BD17,CFHT,3,,MJD,True
53313.36,g,MegaCam,,,,26.28516434,BD17,CFHT,3,,MJD,True
