time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53080.46,i,MegaCam,,,,24.51385291,BD17,CFHT,6,,MJD,True
53081.36,r,MegaCam,,,,25.510386819,BD17,CFHT,6,,MJD,True
53083.39,i,MegaCam,,,,24.55018742,BD17,CFHT,6,,MJD,True
53084.44,r,MegaCam,,,,25.19195474,BD17,CFHT,6,,MJD,True
53084.47,g,MegaCam,,,,25.946007836,BD17,CFHT,6,,MJD,True
53093.38,i,MegaCam,,,,24.46011339,BD17,CFHT,6,,MJD,
53093.42,r,MegaCam,,,,24.57886678,BD17,CFHT,6,,MJD,True
53094.42,z,MegaCam,,,,23.79238754,BD17,CFHT,6,,MJD,
53105.32,i,MegaCam,,,,23.27026380,BD17,CFHT,6,,MJD,
53105.35,r,MegaCam,,,,23.83598527,BD17,CFHT,6,,MJD,
53105.38,g,MegaCam,,,,25.21361325,BD17,CFHT,6,,MJD,True
53114.26,i,MegaCam,,,,23.27424394,BD17,CFHT,6,,MJD,
53114.30,r,MegaCam,,,,23.82828262,BD17,CFHT,6,,MJD,
53114.32,g,MegaCam,,,,25.58703980,BD17,CFHT,6,,MJD,True
53118.35,i,MegaCam,,,,23.29843612,BD17,CFHT,6,,MJD,
53118.37,g,MegaCam,,,,25.01036380,BD17,CFHT,6,,MJD,True
53120.35,r,MegaCam,,,,24.33742450,BD17,CFHT,6,,MJD,
53120.38,g,MegaCam,,,,25.88291284,BD17,CFHT,6,,MJD,True
53135.25,i,MegaCam,,,,23.52289541,BD17,CFHT,6,,MJD,True
53136.27,i,MegaCam,,,,24.62518260,BD17,CFHT,6,,MJD,
53136.31,r,MegaCam,,,,25.15639335,BD17,CFHT,6,,MJD,True
53136.33,g,MegaCam,,,,25.85764738,BD17,CFHT,6,,MJD,True
53147.33,i,MegaCam,,,,24.61386398,BD17,CFHT,6,,MJD,True
53148.26,r,MegaCam,,,,24.456388847,BD17,CFHT,6,,MJD,True
53148.29,g,MegaCam,,,,25.29269302,BD17,CFHT,6,,MJD,True
53151.26,z,MegaCam,,,,23.37497227,BD17,CFHT,6,,MJD,True
53328.57,r,MegaCam,,,,24.432019234,BD17,CFHT,6,,MJD,True
53329.60,i,MegaCam,,,,24.50945588,BD17,CFHT,6,,MJD,True
53330.58,i,MegaCam,,,,24.746405662,BD17,CFHT,6,,MJD,True
53330.62,r,MegaCam,,,,25.29689510,BD17,CFHT,6,,MJD,True
53330.64,g,MegaCam,,,,25.695782539,BD17,CFHT,6,,MJD,True
53331.61,g,MegaCam,,,,25.028714086,BD17,CFHT,6,,MJD,True
53349.59,i,MegaCam,,,,25.34653740,BD17,CFHT,6,,MJD,True
53349.62,r,MegaCam,,,,25.30830098,BD17,CFHT,6,,MJD,True
53349.65,g,MegaCam,,,,25.920541093,BD17,CFHT,6,,MJD,True
53350.56,z,MegaCam,,,,24.37841189,BD17,CFHT,6,,MJD,True
53352.55,i,MegaCam,,,,24.86792861,BD17,CFHT,6,,MJD,True
53352.58,r,MegaCam,,,,25.198517845,BD17,CFHT,6,,MJD,True
53352.60,g,MegaCam,,,,26.155121871,BD17,CFHT,6,,MJD,True
53352.63,z,MegaCam,,,,23.645318954,BD17,CFHT,6,,MJD,True
53355.59,i,MegaCam,,,,24.74980632,BD17,CFHT,6,,MJD,True
53355.63,r,MegaCam,,,,25.12756242,BD17,CFHT,6,,MJD,True
53355.64,g,MegaCam,,,,26.01002010,BD17,CFHT,6,,MJD,True
53357.62,i,MegaCam,,,,24.07661242,BD17,CFHT,6,,MJD,True
53358.52,i,MegaCam,,,,24.84505013,BD17,CFHT,6,,MJD,True
53358.56,r,MegaCam,,,,25.01916860,BD17,CFHT,6,,MJD,True
53358.60,z,MegaCam,,,,23.862830708,BD17,CFHT,6,,MJD,True
53374.61,i,MegaCam,,,,24.59912885,BD17,CFHT,6,,MJD,True
53374.65,r,MegaCam,,,,24.311289709,BD17,CFHT,6,,MJD,True
53375.59,r,MegaCam,,,,25.543818440,BD17,CFHT,6,,MJD,True
53375.62,z,MegaCam,,,,24.11783200,BD17,CFHT,6,,MJD,True
53375.65,g,MegaCam,,,,25.097396958,BD17,CFHT,6,,MJD,True
53378.46,i,MegaCam,,,,24.449566278,BD17,CFHT,6,,MJD,True
53385.52,g,MegaCam,,,,25.960059150,BD17,CFHT,6,,MJD,True
53385.56,i,MegaCam,,,,25.35192902,BD17,CFHT,6,,MJD,True
53385.59,r,MegaCam,,,,25.39472559,BD17,CFHT,6,,MJD,True
53390.43,i,MegaCam,,,,24.88825871,BD17,CFHT,6,,MJD,True
53390.47,r,MegaCam,,,,25.15107708,BD17,CFHT,6,,MJD,True
53390.50,z,MegaCam,,,,24.06995357,BD17,CFHT,6,,MJD,True
53390.54,g,MegaCam,,,,26.016023422,BD17,CFHT,6,,MJD,True
53408.44,i,MegaCam,,,,24.810858916,BD17,CFHT,6,,MJD,True
53408.48,r,MegaCam,,,,25.426418916,BD17,CFHT,6,,MJD,True
53408.49,g,MegaCam,,,,26.022241049,BD17,CFHT,6,,MJD,True
53411.48,i,MegaCam,,,,25.12086708,BD17,CFHT,6,,MJD,True
53411.52,r,MegaCam,,,,25.483956465,BD17,CFHT,6,,MJD,True
53411.55,z,MegaCam,,,,23.84525994,BD17,CFHT,6,,MJD,True
53415.48,r,MegaCam,,,,25.02910435,BD17,CFHT,6,,MJD,True
53415.52,g,MegaCam,,,,25.752585846,BD17,CFHT,6,,MJD,True
