time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53613.52,i,MegaCam,,,,24.449958724,BD17,CFHT,5,,MJD,True
53613.55,r,MegaCam,,,,25.50631178,BD17,CFHT,5,,MJD,True
53613.58,g,MegaCam,,,,26.020697200,BD17,CFHT,5,,MJD,True
53613.61,z,MegaCam,,,,23.978827682,BD17,CFHT,5,,MJD,True
53617.48,z,MegaCam,,,,24.134851417,BD17,CFHT,5,,MJD,True
53617.52,r,MegaCam,,,,25.76382704,BD17,CFHT,5,,MJD,True
53617.54,g,MegaCam,,,,26.16606233,BD17,CFHT,5,,MJD,True
53617.57,i,MegaCam,,,,25.13068068,BD17,CFHT,5,,MJD,True
53622.47,i,MegaCam,,,,24.60217281,BD17,CFHT,5,,MJD,True
53622.50,r,MegaCam,,,,25.15651875,BD17,CFHT,5,,MJD,True
53622.52,g,MegaCam,,,,25.44564317,BD17,CFHT,5,,MJD,True
53624.49,i,MegaCam,,,,25.19871340,BD17,CFHT,5,,MJD,True
53624.53,r,MegaCam,,,,25.536230530,BD17,CFHT,5,,MJD,True
53624.54,g,MegaCam,,,,26.09031878,BD17,CFHT,5,,MJD,True
53624.58,z,MegaCam,,,,23.908599574,BD17,CFHT,5,,MJD,True
53639.53,i,MegaCam,,,,25.18215176,BD17,CFHT,5,,MJD,True
53639.57,r,MegaCam,,,,25.095142792,BD17,CFHT,5,,MJD,True
53639.60,z,MegaCam,,,,23.80145766,BD17,CFHT,5,,MJD,True
53642.43,i,MegaCam,,,,24.65463814,BD17,CFHT,5,,MJD,True
53642.46,r,MegaCam,,,,25.157083241,BD17,CFHT,5,,MJD,True
53642.48,g,MegaCam,,,,25.80268026,BD17,CFHT,5,,MJD,True
53642.51,z,MegaCam,,,,23.77014325,BD17,CFHT,5,,MJD,True
53647.54,i,MegaCam,,,,24.27982429,BD17,CFHT,5,,MJD,
53648.42,i,MegaCam,,,,24.02513664,BD17,CFHT,5,,MJD,
53648.45,r,MegaCam,,,,24.83343987,BD17,CFHT,5,,MJD,
53648.47,g,MegaCam,,,,25.89725710,BD17,CFHT,5,,MJD,True
53648.51,z,MegaCam,,,,23.82006643,BD17,CFHT,5,,MJD,True
53651.41,i,MegaCam,,,,23.94016589,BD17,CFHT,5,,MJD,
53651.44,r,MegaCam,,,,24.22976337,BD17,CFHT,5,,MJD,
53651.46,g,MegaCam,,,,25.94383027,BD17,CFHT,5,,MJD,True
53655.42,i,MegaCam,,,,23.56503765,BD17,CFHT,5,,MJD,
53655.49,z,MegaCam,,,,23.31984776,BD17,CFHT,5,,MJD,
53655.52,r,MegaCam,,,,24.01944510,BD17,CFHT,5,,MJD,
53655.54,g,MegaCam,,,,25.35568902,BD17,CFHT,5,,MJD,True
53666.41,i,MegaCam,,,,23.26031121,BD17,CFHT,5,,MJD,
53666.46,r,MegaCam,,,,23.68166651,BD17,CFHT,5,,MJD,True
53667.43,i,MegaCam,,,,23.24372980,BD17,CFHT,5,,MJD,
53667.47,r,MegaCam,,,,23.91397698,BD17,CFHT,5,,MJD,
53668.36,z,MegaCam,,,,22.91231213,BD17,CFHT,5,,MJD,
53670.32,i,MegaCam,,,,23.20123675,BD17,CFHT,5,,MJD,
53670.34,r,MegaCam,,,,24.28638804,BD17,CFHT,5,,MJD,
53670.36,g,MegaCam,,,,26.12517869,BD17,CFHT,5,,MJD,True
53674.39,i,MegaCam,,,,23.37212007,BD17,CFHT,5,,MJD,
53674.47,r,MegaCam,,,,24.35670372,BD17,CFHT,5,,MJD,
53675.38,r,MegaCam,,,,24.33648126,BD17,CFHT,5,,MJD,
53675.45,g,MegaCam,,,,25.90822876,BD17,CFHT,5,,MJD,True
53675.49,z,MegaCam,,,,23.23118101,BD17,CFHT,5,,MJD,
53678.35,i,MegaCam,,,,23.53699699,BD17,CFHT,5,,MJD,
53678.37,r,MegaCam,,,,24.51128869,BD17,CFHT,5,,MJD,
53678.39,g,MegaCam,,,,26.09626266,BD17,CFHT,5,,MJD,True
53682.31,i,MegaCam,,,,23.77580677,BD17,CFHT,5,,MJD,
53698.46,r,MegaCam,,,,25.37968122,BD17,CFHT,5,,MJD,True
53699.29,i,MegaCam,,,,24.90623456,BD17,CFHT,5,,MJD,
53699.32,g,MegaCam,,,,26.302430103,BD17,CFHT,5,,MJD,True
53699.35,z,MegaCam,,,,23.80799336,BD17,CFHT,5,,MJD,
53702.29,i,MegaCam,,,,24.57743124,BD17,CFHT,5,,MJD,True
53702.34,r,MegaCam,,,,25.52692986,BD17,CFHT,5,,MJD,True
53702.39,g,MegaCam,,,,26.225750684,BD17,CFHT,5,,MJD,True
53705.30,i,MegaCam,,,,24.95637318,BD17,CFHT,5,,MJD,
53705.33,r,MegaCam,,,,25.86274258,BD17,CFHT,5,,MJD,True
53705.35,g,MegaCam,,,,26.29454960,BD17,CFHT,5,,MJD,True
53705.39,z,MegaCam,,,,24.32234276,BD17,CFHT,5,,MJD,True
