time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53494.47,i,MegaCam,,,,24.64892632,BD17,CFHT,5,,MJD,True
53494.51,r,MegaCam,,,,24.86112417,BD17,CFHT,5,,MJD,True
53495.42,r,MegaCam,,,,25.150827541,BD17,CFHT,5,,MJD,True
53495.44,g,MegaCam,,,,26.02391255,BD17,CFHT,5,,MJD,True
53495.47,z,MegaCam,,,,23.884123164,BD17,CFHT,5,,MJD,True
53498.36,i,MegaCam,,,,24.442981296,BD17,CFHT,5,,MJD,True
53498.38,r,MegaCam,,,,25.159847208,BD17,CFHT,5,,MJD,True
53500.31,g,MegaCam,,,,26.345784824,BD17,CFHT,5,,MJD,True
53502.28,z,MegaCam,,,,24.102238195,BD17,CFHT,5,,MJD,True
53502.34,i,MegaCam,,,,24.72029018,BD17,CFHT,5,,MJD,True
53502.36,r,MegaCam,,,,25.530729076,BD17,CFHT,5,,MJD,True
53502.39,g,MegaCam,,,,26.05268603,BD17,CFHT,5,,MJD,True
53505.32,i,MegaCam,,,,24.88830768,BD17,CFHT,5,,MJD,True
53505.35,z,MegaCam,,,,24.240228766,BD17,CFHT,5,,MJD,True
53505.36,r,MegaCam,,,,25.225842537,BD17,CFHT,5,,MJD,True
53505.39,g,MegaCam,,,,25.530994634,BD17,CFHT,5,,MJD,True
53508.30,i,MegaCam,,,,24.60119481,BD17,CFHT,5,,MJD,True
53508.35,r,MegaCam,,,,24.86715978,BD17,CFHT,5,,MJD,True
53508.42,z,MegaCam,,,,23.39286222,BD17,CFHT,5,,MJD,True
53518.39,i,MegaCam,,,,22.64521565,BD17,CFHT,5,,MJD,
53518.42,r,MegaCam,,,,22.63050925,BD17,CFHT,5,,MJD,
53518.45,g,MegaCam,,,,23.57378859,BD17,CFHT,5,,MJD,
53519.34,z,MegaCam,,,,22.40344960,BD17,CFHT,5,,MJD,
53522.31,i,MegaCam,,,,22.39080854,BD17,CFHT,5,,MJD,
53523.30,i,MegaCam,,,,22.31003829,BD17,CFHT,5,,MJD,
53523.39,r,MegaCam,,,,22.34919993,BD17,CFHT,5,,MJD,
53523.41,g,MegaCam,,,,23.39344306,BD17,CFHT,5,,MJD,
53524.30,g,MegaCam,,,,23.34624916,BD17,CFHT,5,,MJD,
53527.33,r,MegaCam,,,,22.28900620,BD17,CFHT,5,,MJD,
53527.35,g,MegaCam,,,,23.46624112,BD17,CFHT,5,,MJD,
53527.38,z,MegaCam,,,,22.13825320,BD17,CFHT,5,,MJD,
53531.29,i,MegaCam,,,,22.32020298,BD17,CFHT,5,,MJD,
53531.36,g,MegaCam,,,,23.76673835,BD17,CFHT,5,,MJD,
53531.38,r,MegaCam,,,,22.36567171,BD17,CFHT,5,,MJD,
