time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53508.30,i,MegaCam,,,,24.76491458,BD17,CFHT,6,,MJD,True
53508.35,r,MegaCam,,,,25.074365326,BD17,CFHT,6,,MJD,True
53508.42,z,MegaCam,,,,23.40740202,BD17,CFHT,6,,MJD,True
53518.39,i,MegaCam,,,,25.22537476,BD17,CFHT,6,,MJD,True
53518.42,r,MegaCam,,,,25.26615039,BD17,CFHT,6,,MJD,True
53518.45,g,MegaCam,,,,25.11168277,BD17,CFHT,6,,MJD,True
53519.34,z,MegaCam,,,,23.89906562,BD17,CFHT,6,,MJD,True
53522.31,i,MegaCam,,,,24.705289551,BD17,CFHT,6,,MJD,True
53523.30,i,MegaCam,,,,24.71489109,BD17,CFHT,6,,MJD,True
53523.39,r,MegaCam,,,,25.61040810,BD17,CFHT,6,,MJD,True
53523.41,g,MegaCam,,,,25.43440794,BD17,CFHT,6,,MJD,True
53524.30,g,MegaCam,,,,26.140124629,BD17,CFHT,6,,MJD,True
53527.30,i,MegaCam,,,,25.48965142,BD17,CFHT,6,,MJD,True
53527.33,r,MegaCam,,,,25.992098456,BD17,CFHT,6,,MJD,True
53527.35,g,MegaCam,,,,26.35427432,BD17,CFHT,6,,MJD,True
53527.38,z,MegaCam,,,,24.21802327,BD17,CFHT,6,,MJD,True
53531.29,i,MegaCam,,,,24.80127810,BD17,CFHT,6,,MJD,True
53531.36,g,MegaCam,,,,26.16403033,BD17,CFHT,6,,MJD,True
53531.38,r,MegaCam,,,,25.719428326,BD17,CFHT,6,,MJD,True
53534.31,i,MegaCam,,,,24.99151025,BD17,CFHT,6,,MJD,True
53534.35,r,MegaCam,,,,25.483956465,BD17,CFHT,6,,MJD,True
53534.38,z,MegaCam,,,,23.74904856,BD17,CFHT,6,,MJD,True
53550.35,i,MegaCam,,,,23.10679469,BD17,CFHT,6,,MJD,
53550.40,r,MegaCam,,,,23.76430037,BD17,CFHT,6,,MJD,
53551.33,g,MegaCam,,,,25.47606705,BD17,CFHT,6,,MJD,
53551.35,z,MegaCam,,,,23.03665761,BD17,CFHT,6,,MJD,
53552.36,z,MegaCam,,,,22.95209471,BD17,CFHT,6,,MJD,
53553.32,i,MegaCam,,,,22.99316828,BD17,CFHT,6,,MJD,
53553.39,r,MegaCam,,,,23.68521868,BD17,CFHT,6,,MJD,
53553.41,g,MegaCam,,,,25.31362152,BD17,CFHT,6,,MJD,
53558.27,i,MegaCam,,,,22.92973650,BD17,CFHT,6,,MJD,
53558.31,r,MegaCam,,,,23.74417122,BD17,CFHT,6,,MJD,
53558.34,z,MegaCam,,,,22.99226237,BD17,CFHT,6,,MJD,
53563.31,i,MegaCam,,,,22.97559584,BD17,CFHT,6,,MJD,
53563.33,g,MegaCam,,,,24.79424861,BD17,CFHT,6,,MJD,True
53565.28,i,MegaCam,,,,23.02731800,BD17,CFHT,6,,MJD,
53565.31,r,MegaCam,,,,23.99619710,BD17,CFHT,6,,MJD,
53565.35,z,MegaCam,,,,23.21600067,BD17,CFHT,6,,MJD,
53578.28,r,MegaCam,,,,24.70906185,BD17,CFHT,6,,MJD,
53578.31,i,MegaCam,,,,23.41959096,BD17,CFHT,6,,MJD,
53578.34,g,MegaCam,,,,25.36895252,BD17,CFHT,6,,MJD,True
53583.26,i,MegaCam,,,,23.96599628,BD17,CFHT,6,,MJD,
53583.28,r,MegaCam,,,,25.51014362,BD17,CFHT,6,,MJD,
53583.30,g,MegaCam,,,,26.04872820,BD17,CFHT,6,,MJD,True
53586.26,r,MegaCam,,,,25.29091738,BD17,CFHT,6,,MJD,True
53586.29,g,MegaCam,,,,26.03643278,BD17,CFHT,6,,MJD,True
53737.61,i,MegaCam,,,,24.77589946,BD17,CFHT,6,,MJD,True
53737.63,r,MegaCam,,,,25.69681343,BD17,CFHT,6,,MJD,True
53742.63,i,MegaCam,,,,25.17421964,BD17,CFHT,6,,MJD,True
53743.63,g,MegaCam,,,,26.126020658,BD17,CFHT,6,,MJD,True
53743.65,r,MegaCam,,,,25.98939436,BD17,CFHT,6,,MJD,True
53766.58,i,MegaCam,,,,25.43238496,BD17,CFHT,6,,MJD,True
53766.61,g,MegaCam,,,,26.258402252,BD17,CFHT,6,,MJD,True
53766.64,r,MegaCam,,,,25.76333348,BD17,CFHT,6,,MJD,True
53769.56,r,MegaCam,,,,25.44785503,BD17,CFHT,6,,MJD,True
53769.58,i,MegaCam,,,,24.53384526,BD17,CFHT,6,,MJD,True
53769.60,g,MegaCam,,,,26.215159029,BD17,CFHT,6,,MJD,True
53772.59,i,MegaCam,,,,24.81721696,BD17,CFHT,6,,MJD,True
53772.62,g,MegaCam,,,,25.94402452,BD17,CFHT,6,,MJD,True
53772.63,r,MegaCam,,,,25.093662337,BD17,CFHT,6,,MJD,True
53791.57,i,MegaCam,,,,25.07768411,BD17,CFHT,6,,MJD,True
53791.62,r,MegaCam,,,,25.499066613,BD17,CFHT,6,,MJD,True
53798.58,i,MegaCam,,,,25.17492096,BD17,CFHT,6,,MJD,True
53799.46,r,MegaCam,,,,25.76468307,BD17,CFHT,6,,MJD,True
53799.48,g,MegaCam,,,,26.164680791,BD17,CFHT,6,,MJD,True
53799.57,z,MegaCam,,,,23.93840834,BD17,CFHT,6,,MJD,True
53801.57,i,MegaCam,,,,25.28574905,BD17,CFHT,6,,MJD,True
53847.45,i,MegaCam,,,,24.96029139,BD17,CFHT,6,,MJD,True
53847.57,g,MegaCam,,,,25.30527644,BD17,CFHT,6,,MJD,True
53848.44,r,MegaCam,,,,25.28964071,BD17,CFHT,6,,MJD,True
53848.47,z,MegaCam,,,,23.455730367,BD17,CFHT,6,,MJD,True
53851.32,i,MegaCam,,,,24.811360716,BD17,CFHT,6,,MJD,True
53851.40,r,MegaCam,,,,25.782951448,BD17,CFHT,6,,MJD,True
53851.42,g,MegaCam,,,,26.01113545,BD17,CFHT,6,,MJD,True
53853.43,g,MegaCam,,,,26.167604736,BD17,CFHT,6,,MJD,True
53855.36,i,MegaCam,,,,25.41800946,BD17,CFHT,6,,MJD,True
53855.39,r,MegaCam,,,,25.848559580,BD17,CFHT,6,,MJD,True
53855.41,g,MegaCam,,,,26.31045897,BD17,CFHT,6,,MJD,True
53855.45,z,MegaCam,,,,24.04516014,BD17,CFHT,6,,MJD,True
53859.31,i,MegaCam,,,,25.15320046,BD17,CFHT,6,,MJD,True
53859.34,r,MegaCam,,,,25.66220092,BD17,CFHT,6,,MJD,True
53859.36,g,MegaCam,,,,26.034981292,BD17,CFHT,6,,MJD,True
53859.40,z,MegaCam,,,,24.14765100,BD17,CFHT,6,,MJD,True
53875.36,g,MegaCam,,,,26.25900793,BD17,CFHT,6,,MJD,True
53875.41,z,MegaCam,,,,23.72171234,BD17,CFHT,6,,MJD,True
53875.47,i,MegaCam,,,,24.80060020,BD17,CFHT,6,,MJD,True
53875.50,r,MegaCam,,,,24.961391030,BD17,CFHT,6,,MJD,True
53879.26,i,MegaCam,,,,24.70330504,BD17,CFHT,6,,MJD,True
53879.29,r,MegaCam,,,,25.59489868,BD17,CFHT,6,,MJD,True
53879.31,g,MegaCam,,,,26.195994458,BD17,CFHT,6,,MJD,True
53883.33,i,MegaCam,,,,25.20879933,BD17,CFHT,6,,MJD,True
53883.37,r,MegaCam,,,,25.644955632,BD17,CFHT,6,,MJD,True
53883.39,g,MegaCam,,,,26.109379474,BD17,CFHT,6,,MJD,True
53883.42,z,MegaCam,,,,23.683877176,BD17,CFHT,6,,MJD,True
53888.36,i,MegaCam,,,,24.53724294,BD17,CFHT,6,,MJD,True
53888.38,r,MegaCam,,,,25.592460082,BD17,CFHT,6,,MJD,True
53888.40,g,MegaCam,,,,26.249202941,BD17,CFHT,6,,MJD,True
53892.32,i,MegaCam,,,,25.34146978,BD17,CFHT,6,,MJD,True
53892.35,r,MegaCam,,,,25.360142634,BD17,CFHT,6,,MJD,True
53892.37,g,MegaCam,,,,25.673448005,BD17,CFHT,6,,MJD,True
53892.41,z,MegaCam,,,,24.42196338,BD17,CFHT,6,,MJD,True
53906.31,i,MegaCam,,,,24.94048041,BD17,CFHT,6,,MJD,True
53906.35,r,MegaCam,,,,25.563342694,BD17,CFHT,6,,MJD,True
53906.37,g,MegaCam,,,,25.725341706,BD17,CFHT,6,,MJD,True
53906.40,z,MegaCam,,,,23.370376030,BD17,CFHT,6,,MJD,True
53910.35,i,MegaCam,,,,25.08793720,BD17,CFHT,6,,MJD,True
53911.28,r,MegaCam,,,,25.685322967,BD17,CFHT,6,,MJD,True
53911.33,g,MegaCam,,,,25.924362659,BD17,CFHT,6,,MJD,True
