time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53564.51,i,MegaCam,,,,23.944839255,BD17,CFHT,6,,MJD,True
53564.57,r,MegaCam,,,,24.562888766,BD17,CFHT,6,,MJD,True
53565.48,i,MegaCam,,,,24.997830696,BD17,CFHT,6,,MJD,True
53565.53,z,MegaCam,,,,23.98797983,BD17,CFHT,6,,MJD,True
53565.57,r,MegaCam,,,,25.37040235,BD17,CFHT,6,,MJD,True
53577.57,i,MegaCam,,,,24.58522068,BD17,CFHT,6,,MJD,True
53577.60,r,MegaCam,,,,24.706987535,BD17,CFHT,6,,MJD,True
53578.49,r,MegaCam,,,,24.78321084,BD17,CFHT,6,,MJD,True
53579.51,r,MegaCam,,,,24.20332895,BD17,CFHT,6,,MJD,True
53579.55,z,MegaCam,,,,23.80777608,BD17,CFHT,6,,MJD,True
53582.46,i,MegaCam,,,,24.54036686,BD17,CFHT,6,,MJD,True
53582.49,r,MegaCam,,,,25.05546244,BD17,CFHT,6,,MJD,True
53582.55,g,MegaCam,,,,25.68808188,BD17,CFHT,6,,MJD,True
53583.40,g,MegaCam,,,,26.044514784,BD17,CFHT,6,,MJD,True
53586.43,i,MegaCam,,,,25.03211966,BD17,CFHT,6,,MJD,True
53586.50,r,MegaCam,,,,25.46972290,BD17,CFHT,6,,MJD,True
53586.53,g,MegaCam,,,,25.956647152,BD17,CFHT,6,,MJD,True
53587.39,g,MegaCam,,,,26.195080140,BD17,CFHT,6,,MJD,True
53587.43,z,MegaCam,,,,23.87823420,BD17,CFHT,6,,MJD,True
53591.44,i,MegaCam,,,,24.15890070,BD17,CFHT,6,,MJD,True
53591.47,r,MegaCam,,,,24.51788471,BD17,CFHT,6,,MJD,True
53592.41,r,MegaCam,,,,25.42561520,BD17,CFHT,6,,MJD,True
53592.43,g,MegaCam,,,,26.047773055,BD17,CFHT,6,,MJD,True
53593.39,z,MegaCam,,,,24.19564156,BD17,CFHT,6,,MJD,True
53594.40,i,MegaCam,,,,24.11997808,BD17,CFHT,6,,MJD,
53594.44,r,MegaCam,,,,25.24908218,BD17,CFHT,6,,MJD,True
53594.46,g,MegaCam,,,,25.981282020,BD17,CFHT,6,,MJD,True
53609.36,i,MegaCam,,,,23.30625637,BD17,CFHT,6,,MJD,
53609.40,r,MegaCam,,,,24.28127948,BD17,CFHT,6,,MJD,
53609.42,g,MegaCam,,,,25.98369727,BD17,CFHT,6,,MJD,True
53609.45,z,MegaCam,,,,23.33743196,BD17,CFHT,6,,MJD,
53613.35,i,MegaCam,,,,23.39023382,BD17,CFHT,6,,MJD,
53613.40,r,MegaCam,,,,24.39544920,BD17,CFHT,6,,MJD,
53613.43,g,MegaCam,,,,25.84920026,BD17,CFHT,6,,MJD,True
53613.46,z,MegaCam,,,,23.24579946,BD17,CFHT,6,,MJD,
53617.31,z,MegaCam,,,,23.17322596,BD17,CFHT,6,,MJD,
53617.37,i,MegaCam,,,,23.48676433,BD17,CFHT,6,,MJD,
53617.41,r,MegaCam,,,,24.40344224,BD17,CFHT,6,,MJD,
53617.42,g,MegaCam,,,,26.016521740,BD17,CFHT,6,,MJD,True
53622.34,g,MegaCam,,,,25.82155871,BD17,CFHT,6,,MJD,True
53622.34,i,MegaCam,,,,23.68402256,BD17,CFHT,6,,MJD,
53622.38,r,MegaCam,,,,24.88171546,BD17,CFHT,6,,MJD,
53624.32,i,MegaCam,,,,23.59766421,BD17,CFHT,6,,MJD,
53624.36,r,MegaCam,,,,24.93560921,BD17,CFHT,6,,MJD,
53624.39,g,MegaCam,,,,25.79184192,BD17,CFHT,6,,MJD,True
53624.42,z,MegaCam,,,,23.21478362,BD17,CFHT,6,,MJD,
