time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53848.27,i,MegaCam,,,,19.67924421,BD17,CFHT,6,,MJD,
53848.31,r,MegaCam,,,,19.75781183,BD17,CFHT,6,,MJD,
53848.33,g,MegaCam,,,,19.90494065,BD17,CFHT,6,,MJD,
53848.37,z,MegaCam,,,,19.85251226,BD17,CFHT,6,,MJD,
53853.30,i,MegaCam,,,,19.64097991,BD17,CFHT,6,,MJD,
53853.37,r,MegaCam,,,,19.54925512,BD17,CFHT,6,,MJD,
53854.27,r,MegaCam,,,,19.53338597,BD17,CFHT,6,,MJD,
53854.29,g,MegaCam,,,,19.76749701,BD17,CFHT,6,,MJD,
53856.26,i,MegaCam,,,,19.64363529,BD17,CFHT,6,,MJD,
53856.30,r,MegaCam,,,,19.53976267,BD17,CFHT,6,,MJD,
53856.33,g,MegaCam,,,,19.81104136,BD17,CFHT,6,,MJD,
53856.35,z,MegaCam,,,,20.04086664,BD17,CFHT,6,,MJD,
53858.26,i,MegaCam,,,,19.67690348,BD17,CFHT,6,,MJD,
53858.30,r,MegaCam,,,,19.58089451,BD17,CFHT,6,,MJD,
53858.33,z,MegaCam,,,,20.10325590,BD17,CFHT,6,,MJD,
53876.27,r,MegaCam,,,,20.47438509,BD17,CFHT,6,,MJD,
53877.27,r,MegaCam,,,,20.49937613,BD17,CFHT,6,,MJD,
53877.30,g,MegaCam,,,,21.53929572,BD17,CFHT,6,,MJD,
53878.28,i,MegaCam,,,,20.30190180,BD17,CFHT,6,,MJD,
53884.26,i,MegaCam,,,,20.41474336,BD17,CFHT,6,,MJD,
53884.28,g,MegaCam,,,,22.12656728,BD17,CFHT,6,,MJD,
53885.26,r,MegaCam,,,,20.87712548,BD17,CFHT,6,,MJD,
53886.26,r,MegaCam,,,,20.93319980,BD17,CFHT,6,,MJD,
54060.61,i,MegaCam,,,,24.78201106,BD17,CFHT,6,,MJD,True
54061.59,r,MegaCam,,,,24.95846113,BD17,CFHT,6,,MJD,
54061.60,g,MegaCam,,,,24.66939081,BD17,CFHT,6,,MJD,True
54066.54,i,MegaCam,,,,24.35508398,BD17,CFHT,6,,MJD,True
54066.56,g,MegaCam,,,,24.76508946,BD17,CFHT,6,,MJD,True
54066.58,r,MegaCam,,,,24.99102558,BD17,CFHT,6,,MJD,True
