time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56801.5,V-crts,,,,,21.5,,,3,,MJD,True
57891.2686168198,w,,,0.163697,,20.9924,,Pan-STARRS1,4,,MJD,
57891.2686168198,w,,,0.163988,,21.0327,,Pan-STARRS1,4,,MJD,
57891.2689931,w,,,0.16,,20.99,,PS1,3,,MJD,
57891.2798774444,w,,,0.20201,,20.9419,,Pan-STARRS1,4,,MJD,
57891.2798774444,w,,,0.19665,,20.9575,,Pan-STARRS1,4,,MJD,
57891.2911081533,w,,,0.128713,,21.0145,,Pan-STARRS1,4,,MJD,
57891.2911081533,w,,,0.131886,,21.0398,,Pan-STARRS1,4,,MJD,
57891.3023042655,w,,,0.116712,,20.939,,Pan-STARRS1,4,,MJD,
57891.3023042655,w,,,0.112512,,20.9473,,Pan-STARRS1,4,,MJD,
57896.1499421,V-crts,,,,,19.5,,,3,,MJD,
