time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,17.1,,Catalina Schmidt,2,,,
53554.440002,C,,,,,19.480951,,Catalina Schmidt,2,,MJD,True
53554.559998,C,,,,,19.587187,,Catalina Schmidt,2,,MJD,True
53604.440002,C,,,,,18.682461,,Catalina Schmidt,2,,MJD,True
53604.559998,C,,,,,18.893801,,Catalina Schmidt,2,,MJD,True
53644.440002,C,,,,,20.164427,,Catalina Schmidt,2,,MJD,True
53644.559998,C,,,,,19.890011,,Catalina Schmidt,2,,MJD,True
53653.440002,C,,,,,19.313066,,Catalina Schmidt,2,,MJD,True
53653.559998,C,,,,,19.726185,,Catalina Schmidt,2,,MJD,True
53675.440002,C,,,,,19.67281,,Catalina Schmidt,2,,MJD,True
53675.559998,C,,,,,19.584854,,Catalina Schmidt,2,,MJD,True
53691.440002,C,,,,,18.492857,,Catalina Schmidt,2,,MJD,True
53691.559998,C,,,,,18.778639,,Catalina Schmidt,2,,MJD,True
53718.440002,C,,,,,19.042967,,Catalina Schmidt,2,,MJD,True
53718.559998,C,,,,,18.997391,,Catalina Schmidt,2,,MJD,True
53727.440002,C,,,,,19.772163,,Catalina Schmidt,2,,MJD,True
53728.440002,C,,,,,19.271656,,Catalina Schmidt,2,,MJD,True
53728.559998,C,,,,,19.969587,,Catalina Schmidt,2,,MJD,True
53733.440002,C,,,,,20.015606,,Catalina Schmidt,2,,MJD,True
53733.559998,C,,,,,19.821032,,Catalina Schmidt,2,,MJD,True
53764.440002,C,,,,,20.335228,,Catalina Schmidt,2,,MJD,True
53764.559998,C,,,,,20.064619,,Catalina Schmidt,2,,MJD,True
53944.440002,C,,,,,20.313736,,Catalina Schmidt,2,,MJD,True
53944.559998,C,,,,,20.360167,,Catalina Schmidt,2,,MJD,True
53981.440002,C,,,,,19.613354,,Catalina Schmidt,2,,MJD,True
53981.559998,C,,,,,19.152891,,Catalina Schmidt,2,,MJD,True
53983.440002,C,,,,,19.261917,,Catalina Schmidt,2,,MJD,True
53983.559998,C,,,,,19.20315,,Catalina Schmidt,2,,MJD,True
54009.440002,C,,,,,19.990452,,Catalina Schmidt,2,,MJD,True
54009.559998,C,,,,,19.726559,,Catalina Schmidt,2,,MJD,True
54032.440002,C,,,,,19.366287,,Catalina Schmidt,2,,MJD,True
54032.559998,C,,,,,20.025692,,Catalina Schmidt,2,,MJD,True
54048.440002,C,,,,,19.765057,,Catalina Schmidt,2,,MJD,True
54048.559998,C,,,,,19.585312,,Catalina Schmidt,2,,MJD,True
54061.440002,C,,,,,19.921701,,Catalina Schmidt,2,,MJD,True
54061.559998,C,,,,,19.780825,,Catalina Schmidt,2,,MJD,True
54077.440002,C,,,,,19.40196,,Catalina Schmidt,2,,MJD,True
54077.559998,C,,,,,19.185492,,Catalina Schmidt,2,,MJD,True
54085.440002,C,,,,,19.785563,,Catalina Schmidt,2,,MJD,True
54085.559998,C,,,,,19.825012,,Catalina Schmidt,2,,MJD,True
54122.440002,C,,,,,19.967163,,Catalina Schmidt,2,,MJD,True
54122.559998,C,,,,,20.055771,,Catalina Schmidt,2,,MJD,True
54177.440002,C,,,,,19.556923,,Catalina Schmidt,2,,MJD,True
54177.559998,C,,,,,19.155418,,Catalina Schmidt,2,,MJD,True
54337.439941,C,,,,,19.472418,,Catalina Schmidt,2,,MJD,True
54337.560059,C,,,,,19.246952,,Catalina Schmidt,2,,MJD,True
54353.439941,C,,,,,19.597673,,Catalina Schmidt,2,,MJD,True
54353.560059,C,,,,,20.103781,,Catalina Schmidt,2,,MJD,True
54392.439941,C,,,,,19.684607,,Catalina Schmidt,2,,MJD,True
54392.560059,C,,,,,19.741726,,Catalina Schmidt,2,,MJD,True
54413.439941,C,,,,,19.444233,,Catalina Schmidt,2,,MJD,True
54413.560059,C,,,,,19.481394,,Catalina Schmidt,2,,MJD,True
54442.439941,C,,,,,20.104355,,Catalina Schmidt,2,,MJD,True
54442.560059,C,,,,,20.252718,,Catalina Schmidt,2,,MJD,True
54471.439941,C,,,,,19.646,,Catalina Schmidt,2,,MJD,True
54471.560059,C,,,,,19.697016,,Catalina Schmidt,2,,MJD,True
54490.439941,C,,,,,19.177158,,Catalina Schmidt,2,,MJD,True
54490.560059,C,,,,,18.972481,,Catalina Schmidt,2,,MJD,True
54521.439941,C,,,,,19.627571,,Catalina Schmidt,2,,MJD,True
54521.560059,C,,,,,18.80415,,Catalina Schmidt,2,,MJD,True
54711.439941,C,,,,,20.555651,,Catalina Schmidt,2,,MJD,True
54711.560059,C,,,,,20.505627,,Catalina Schmidt,2,,MJD,True
54728.439941,C,,,,,19.083183,,Catalina Schmidt,2,,MJD,True
54728.560059,C,,,,,19.143732,,Catalina Schmidt,2,,MJD,True
54759.439941,C,,,,,19.80438,,Catalina Schmidt,2,,MJD,True
54759.560059,C,,,,,19.345253,,Catalina Schmidt,2,,MJD,True
54771.439941,C,,,,,20.357916,,Catalina Schmidt,2,,MJD,True
54771.560059,C,,,,,20.111624,,Catalina Schmidt,2,,MJD,True
54800.439941,C,,,,,20.051094,,Catalina Schmidt,2,,MJD,True
54800.560059,C,,,,,20.059769,,Catalina Schmidt,2,,MJD,True
54835.439941,C,,,,,19.579775,,Catalina Schmidt,2,,MJD,True
54835.47998,C,,,,,19.575369,,Catalina Schmidt,2,,MJD,True
54835.52002,C,,,,,19.803137,,Catalina Schmidt,2,,MJD,True
54835.560059,C,,,,,19.821507,,Catalina Schmidt,2,,MJD,True
54854.439941,C,,,,,20.434475,,Catalina Schmidt,2,,MJD,True
54854.47998,C,,,,,20.121624,,Catalina Schmidt,2,,MJD,True
54854.52002,C,,,,,20.207249,,Catalina Schmidt,2,,MJD,True
54854.560059,C,,,,,20.182775,,Catalina Schmidt,2,,MJD,True
54869.439941,C,,,,,19.234688,,Catalina Schmidt,2,,MJD,True
54869.47998,C,,,,,19.003883,,Catalina Schmidt,2,,MJD,True
54869.52002,C,,,,,19.449911,,Catalina Schmidt,2,,MJD,True
54869.560059,C,,,,,19.312141,,Catalina Schmidt,2,,MJD,True
54908.439941,C,,,,,19.917999,,Catalina Schmidt,2,,MJD,True
54908.47998,C,,,,,19.922054,,Catalina Schmidt,2,,MJD,True
54908.52002,C,,,,,19.759644,,Catalina Schmidt,2,,MJD,True
54908.560059,C,,,,,19.766733,,Catalina Schmidt,2,,MJD,True
55032.439941,C,,,,,20.172962,,Catalina Schmidt,2,,MJD,True
55032.47998,C,,,,,20.097286,,Catalina Schmidt,2,,MJD,True
