time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57144.3098455836,r,,,0.17105,,19.1665,,Pan-STARRS1,"2,5",,MJD,
57144.3098455836,r,,,0.181713,,19.1987,,Pan-STARRS1,"2,5",,MJD,
57144.3233396943,r,,,0.172364,,19.273,,Pan-STARRS1,"2,5",,MJD,
57144.3233396943,r,,,0.197132,,19.2915,,Pan-STARRS1,"2,5",,MJD,
57145.3072214198,i,,,0.0899035,,19.3729,,Pan-STARRS1,"2,5",,MJD,
57145.3072214198,i,,,0.0992864,,19.3955,,Pan-STARRS1,"2,5",,MJD,
57145.3204436242,i,,,0.0690179,,19.2918,,Pan-STARRS1,"2,5",,MJD,
57145.3204436242,i,,,0.0764247,,19.3055,,Pan-STARRS1,"2,5",,MJD,
57145.3336595151,i,,,0.110169,,19.3849,,Pan-STARRS1,"2,5",,MJD,
57145.3336595151,i,,,0.126053,,19.402,,Pan-STARRS1,"2,5",,MJD,
57145.3468742444,i,,,0.128593,,19.32,,Pan-STARRS1,"2,5",,MJD,
57145.3468742444,i,,,0.109593,,19.3726,,Pan-STARRS1,"2,5",,MJD,
